"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2025,"May 16, 2025","Regular season","Washington Mystics","Atlanta Dream","CareFirst Arena","Washington","DC",4200
2025,"May 16, 2025","Regular season","Dallas Wings","Minnesota Lynx","College Park Center","Arlington","TX",6251
2025,"May 16, 2025","Regular season","Golden State Valkyries","Los Angeles Sparks","Chase Center","San Francisco","CA",18064
2025,"May 17, 2025","Regular season","New York Liberty","Las Vegas Aces","Barclays Center","Brooklyn","NY",17344
2025,"May 17, 2025","Regular season","Indiana Fever","Chicago Sky","Gainbridge Fieldhouse","Indianapolis","IN",17274
2025,"May 17, 2025","Regular season","Phoenix Mercury","Seattle Storm","PHX Arena","Phoenix","AZ",10623
2025,"May 18, 2025","Regular season","Connecticut Sun","Washington Mystics","Mohegan Sun Arena","Uncasville","CT",7834
2025,"May 18, 2025","Regular season","Los Angeles Sparks","Minnesota Lynx","Crypto.com Arena","Los Angeles","CA",11170
2025,"May 19, 2025","Regular season","Dallas Wings","Seattle Storm","College Park Center","Arlington","TX",6137
2025,"May 20, 2025","Regular season","Connecticut Sun","Las Vegas Aces","Mohegan Sun Arena","Uncasville","CT",8179
2025,"May 20, 2025","Regular season","Indiana Fever","Atlanta Dream","Gainbridge Fieldhouse","Indianapolis","IN",16269
2025,"May 21, 2025","Regular season","Minnesota Lynx","Dallas Wings","Target Center","Minneapolis","MN",12772
2025,"May 21, 2025","Regular season","Golden State Valkyries","Washington Mystics","Chase Center","San Francisco","CA",18064
2025,"May 21, 2025","Regular season","Phoenix Mercury","Los Angeles Sparks","PHX Arena","Phoenix","AZ",8024
2025,"May 22, 2025","Regular season","Atlanta Dream","Indiana Fever","State Farm Arena","Atlanta","GA",17044
2025,"May 22, 2025","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL",9025
2025,"May 23, 2025","Regular season","Minnesota Lynx","Connecticut Sun","Target Center","Minneapolis","MN",8224
2025,"May 23, 2025","Regular season","Las Vegas Aces","Washington Mystics","Michelob ULTRA Arena","Las Vegas","NV",10509
2025,"May 23, 2025","Regular season","Los Angeles Sparks","Golden State Valkyries","Crypto.com Arena","Los Angeles","CA",10857
2025,"May 23, 2025","Regular season","Seattle Storm","Phoenix Mercury","Climate Pledge Arena","Seattle","WA",9091
2025,"May 24, 2025","Regular season","Indiana Fever","New York Liberty","Gainbridge Fieldhouse","Indianapolis","IN",17274
2025,"May 24, 2025","Regular season","Atlanta Dream","Dallas Wings","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"May 25, 2025","Regular season","Atlanta Dream","Connecticut Sun","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"May 25, 2025","Regular season","Los Angeles Sparks","Chicago Sky","Crypto.com Arena","Los Angeles","CA",11422
2025,"May 25, 2025","Regular season","Phoenix Mercury","Washington Mystics","PHX Arena","Phoenix","AZ",10065
2025,"May 25, 2025","Regular season","Seattle Storm","Las Vegas Aces","Climate Pledge Arena","Seattle","WA",10634
2025,"May 27, 2025","Regular season","Connecticut Sun","Dallas Wings","Mohegan Sun Arena","Uncasville","CT",8910
2025,"May 27, 2025","Regular season","New York Liberty","Golden State Valkyries","Barclays Center","Brooklyn","NY",14774
2025,"May 27, 2025","Regular season","Minnesota Lynx","Seattle Storm","Target Center","Minneapolis","MN",7808
2025,"May 27, 2025","Regular season","Los Angeles Sparks","Atlanta Dream","Crypto.com Arena","Los Angeles","CA",10797
2025,"May 27, 2025","Regular season","Phoenix Mercury","Chicago Sky","PHX Arena","Phoenix","AZ",8818
2025,"May 28, 2025","Regular season","Washington Mystics","Indiana Fever","CFG Bank Arena","Baltimore","MD",11183
2025,"May 29, 2025","Regular season","New York Liberty","Golden State Valkyries","Barclays Center","Brooklyn","NY",14951
2025,"May 29, 2025","Regular season","Chicago Sky","Dallas Wings","Wintrust Arena","Chicago","IL",9025
2025,"May 30, 2025","Regular season","Indiana Fever","Connecticut Sun","Gainbridge Fieldhouse","Indianapolis","IN",16213
2025,"May 30, 2025","Regular season","Washington Mystics","New York Liberty","CareFirst Arena","Washington","DC",4200
2025,"May 30, 2025","Regular season","Las Vegas Aces","Los Angeles Sparks","Michelob ULTRA Arena","Las Vegas","NV",10504
2025,"May 30, 2025","Regular season","Phoenix Mercury","Minnesota Lynx","PHX Arena","Phoenix","AZ",9043
2025,"May 30, 2025","Regular season","Seattle Storm","Atlanta Dream","Climate Pledge Arena","Seattle","WA",9666
2025,"May 31, 2025","Regular season","Dallas Wings","Chicago Sky","College Park Center","Arlington","TX",6251
2025,"June 1, 2025","Regular season","New York Liberty","Connecticut Sun","Barclays Center","Brooklyn","NY",17415
2025,"June 1, 2025","Regular season","Los Angeles Sparks","Phoenix Mercury","Crypto.com Arena","Los Angeles","CA",11033
2025,"June 1, 2025","Regular season","Seattle Storm","Las Vegas Aces","Climate Pledge Arena","Seattle","WA",10201
2025,"June 1, 2025","Regular season","Golden State Valkyries","Minnesota Lynx","Chase Center","San Francisco","CA",18064
2025,"June 3, 2025","Regular season","Indiana Fever","Washington Mystics","Gainbridge Fieldhouse","Indianapolis","IN",16013
2025,"June 3, 2025","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",8772
2025,"June 3, 2025","Regular season","Seattle Storm","Dallas Wings","Climate Pledge Arena","Seattle","WA",10252
2025,"June 5, 2025","Regular season","Washington Mystics","New York Liberty","CareFirst Arena","Washington","DC",4200
2025,"June 5, 2025","Regular season","Phoenix Mercury","Golden State Valkyries","PHX Arena","Phoenix","AZ",9943
2025,"June 6, 2025","Regular season","Connecticut Sun","Atlanta Dream","Mohegan Sun Arena","Uncasville","CT",8078
2025,"June 6, 2025","Regular season","Dallas Wings","Los Angeles Sparks","College Park Center","Arlington","TX",6007
2025,"June 7, 2025","Regular season","Golden State Valkyries","Las Vegas Aces","Chase Center","San Francisco","CA",18064
2025,"June 7, 2025","Regular season","Chicago Sky","Indiana Fever","United Center","Chicago","IL",19496
2025,"June 7, 2025","Regular season","Phoenix Mercury","Seattle Storm","PHX Arena","Phoenix","AZ",9876
2025,"June 8, 2025","Regular season","Washington Mystics","Connecticut Sun","CareFirst Arena","Washington","DC",4200
2025,"June 8, 2025","Regular season","Dallas Wings","Minnesota Lynx","College Park Center","Arlington","TX",6162
2025,"June 9, 2025","Regular season","Los Angeles Sparks","Golden State Valkyries","Crypto.com Arena","Los Angeles","CA",10921
2025,"June 10, 2025","Regular season","Atlanta Dream","Indiana Fever","Gateway Center Arena @ College Park","Atlanta","GA",3265
2025,"June 10, 2025","Regular season","New York Liberty","Chicago Sky","Barclays Center","Brooklyn","NY",16081
2025,"June 11, 2025","Regular season","Las Vegas Aces","Los Angeles Sparks","Michelob ULTRA Arena","Las Vegas","NV",10417
2025,"June 11, 2025","Regular season","Phoenix Mercury","Dallas Wings","PHX Arena","Phoenix","AZ",13001
2025,"June 11, 2025","Regular season","Seattle Storm","Minnesota Lynx","Climate Pledge Arena","Seattle","WA",9722
