"Season","game_date","Team","Opponent","attendance"
2018,2018-05-18,"PHOENIX MERCURY","Dallas Wings",11210
2018,2018-05-19,"INDIANA FEVER","Chicago Sky",6565
2018,2018-05-20,"CONNECTICUT SUN","Las Vegas Aces",6637
2018,2018-05-20,"WASHINGTON MYSTICS","Indiana Fever",7400
2018,2018-05-20,"DALLAS WINGS","Atlanta Dream",5907
2018,2018-05-20,"MINNESOTA LYNX","Los Angeles Sparks",13032
2018,2018-05-20,"CHICAGO SKY","New York Liberty",7922
2018,2018-05-20,"SEATTLE STORM","Phoenix Mercury",8602
2018,2018-05-22,"INDIANA FEVER","Los Angeles Sparks",4742
2018,2018-05-22,"WASHINGTON MYSTICS","Las Vegas Aces",4509
2018,2018-05-23,"CHICAGO SKY","Atlanta Dream",6147
2018,2018-05-23,"MINNESOTA LYNX","Dallas Wings",7834
2018,2018-05-23,"PHOENIX MERCURY","Seattle Storm",8068
2018,2018-05-24,"CONNECTICUT SUN","Los Angeles Sparks",5571
2018,2018-05-24,"INDIANA FEVER","Washington Mystics",4415
2018,2018-05-25,"NEW YORK LIBERTY","Minnesota Lynx",2315
2018,2018-05-25,"SEATTLE STORM","Chicago Sky",5866
2018,2018-05-26,"ATLANTA DREAM","Dallas Wings",4749
2018,2018-05-26,"CONNECTICUT SUN","Indiana Fever",5843
2018,2018-05-27,"WASHINGTON MYSTICS","Minnesota Lynx",5723
2018,2018-05-27,"LOS ANGELES SPARKS","Phoenix Mercury",11201
2018,2018-05-27,"LAS VEGAS ACES","Seattle Storm",7662
2018,2018-05-29,"ATLANTA DREAM","Minnesota Lynx",3785
2018,2018-05-29,"NEW YORK LIBERTY","Dallas Wings",1516
2018,2018-05-29,"SEATTLE STORM","Washington Mystics",4453
2018,2018-05-30,"PHOENIX MERCURY","Washington Mystics",8188
2018,2018-05-31,"SEATTLE STORM","Las Vegas Aces",5235
2018,2018-06-01,"MINNESOTA LYNX","Phoenix Mercury",8830
2018,2018-06-01,"CHICAGO SKY","Connecticut Sun",4131
2018,2018-06-01,"LAS VEGAS ACES","Washington Mystics",5575
2018,2018-06-02,"INDIANA FEVER","New York Liberty",5575
2018,2018-06-02,"DALLAS WINGS","Seattle Storm",5191
2018,2018-06-03,"ATLANTA DREAM","Phoenix Mercury",3796
2018,2018-06-03,"WASHINGTON MYSTICS","Connecticut Sun",5176
2018,2018-06-03,"LOS ANGELES SPARKS","Minnesota Lynx",13500
2018,2018-06-03,"CHICAGO SKY","Las Vegas Aces",5052
2018,2018-06-05,"NEW YORK LIBERTY","Phoenix Mercury",7215
2018,2018-06-05,"ATLANTA DREAM","Connecticut Sun",2830
2018,2018-06-07,"WASHINGTON MYSTICS","Minnesota Lynx",8587
2018,2018-06-07,"NEW YORK LIBERTY","Connecticut Sun",1581
2018,2018-06-07,"LOS ANGELES SPARKS","Seattle Storm",9204
2018,2018-06-08,"LAS VEGAS ACES","Atlanta Dream",5913
2018,2018-06-08,"INDIANA FEVER","Dallas Wings",5675
