".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"1",2315,25,"Fri","5","NEW YORK LIBERTY","2018",5992.69499467951,-3677.69499467951,0.0218382147886023,2471.5621566317,0.00180304499540131,-1.50376190084451
"2",1516,25,"Tue","5","NEW YORK LIBERTY","2018",5237.11867015379,-3721.11867015379,0.0215374117390496,2471.50957645891,0.00181933007701242,-1.52128338635375
"3",7215,26,"Tue","6","NEW YORK LIBERTY","2018",5469.29698533172,1745.70301466828,0.0191935882559917,2473.30070130437,0.000355131914934359,0.712832395299831
"4",1581,25,"Thu","6","NEW YORK LIBERTY","2018",6079.63731228794,-4498.63731228794,0.0209536270460294,2470.4516903319,0.00258389013513254,-1.838603422523
"5",1537,25,"Sun","6","NEW YORK LIBERTY","2018",6413.45566768704,-4876.45566768704,0.0177031634292267,2469.87747304219,0.00254819903174617,-1.98971842808557
"6",1419,25,"Wed","6","NEW YORK LIBERTY","2018",6506.70122177321,-5087.70122177321,0.0224934925052576,2469.50861425294,0.00355893596659315,-2.0809923570236
"7",1627,25,"Tue","6","NEW YORK LIBERTY","2018",5327.19233251879,-3700.19233251879,0.0189574022008213,2471.54129594434,0.00157511072725122,-1.51073774804684
"8",1839,25,"Tue","6","NEW YORK LIBERTY","2018",5327.19233251879,-3488.19233251879,0.0189574022008213,2471.79329147873,0.0013997914540908,-1.42418105752801
"9",1837,24,"Fri","6","NEW YORK LIBERTY","2018",5940.66400423158,-4103.66400423158,0.0190034379190297,2471.02043129788,0.00194222792111471,-1.67550900671754
"10",1749,24,"Tue","7","NEW YORK LIBERTY","2018",6043.97239022594,-4294.97239022594,0.0193166795757274,2470.75367439346,0.00216398899952689,-1.75389946876642
"11",1719,22,"Sun","7","NEW YORK LIBERTY","2018",6846.02641976834,-5127.02641976834,0.017860906372357,2469.46248619059,0.00284281112238918,-2.09212568262495
"12",2073,22,"Sun","7","NEW YORK LIBERTY","2018",6846.02641976834,-4773.02641976834,0.017860906372357,2470.0418054352,0.00246379501256228,-1.94767304458242
"13",2005,22,"Sat","7","NEW YORK LIBERTY","2018",7230.92545031994,-5225.92545031994,0.0226558448095012,2469.27105624097,0.00378330225230497,-2.13770692750236
"14",2225,21,"Sat","8","NEW YORK LIBERTY","2018",7182.54738558907,-4957.54738558907,0.0232789492414184,2469.72248767211,0.00350280066389161,-2.02857147653039
"15",12488,21,"Mon","8","NEW YORK LIBERTY","2018",6699.31718756726,5788.68281243274,0.0640469840556442,2467.99466113772,0.0143090068690094,2.41969955086553
"16",2481,20,"Wed","8","NEW YORK LIBERTY","2018",6748.78925631072,-4267.78925631072,0.023392808868444,2470.7796118501,0.00260920298205952,-1.74643216526822
"17",2362,19,"Sun","8","NEW YORK LIBERTY","2018",6513.43904941162,-4151.43904941162,0.0184475781586143,2470.95680946933,0.00192738773569734,-1.69453534239016
"18",1965,17,"Fri","5","NEW YORK LIBERTY","2019",4450.40897236338,-2485.40897236338,0.02264898793867,2472.7797193412,0.000855466067994657,-1.01667300666861
"19",3579,15,"Tue","6","NEW YORK LIBERTY","2019",3500.69700457681,78.3029954231934,0.0199982296749316,2473.8033499928,7.45682551924633e-07,0.0319870110585043
"20",1567,14,"Fri","6","NEW YORK LIBERTY","2019",4114.1686762896,-2547.1686762896,0.0199149872729681,2472.73115562888,0.000785646799430427,-1.0404819388286
"21",1447,13,"Sun","6","NEW YORK LIBERTY","2019",4302.7510341192,-2855.7510341192,0.0191735898018515,2472.45631692279,0.000949334387516537,-1.16609244514397
"22",1181,13,"Wed","6","NEW YORK LIBERTY","2019",4395.99658820538,-3214.99658820538,0.0234816079943777,2472.08815782062,0.00148657700131366,-1.31567619624725
"23",1585,12,"Wed","6","NEW YORK LIBERTY","2019",4253.89193539245,-2668.89193539245,0.0239198019043692,2472.62127200624,0.00104449881293876,-1.09243838828973
"24",2191,10,"Fri","6","NEW YORK LIBERTY","2019",3545.75006503788,-1354.75006503788,0.0217979291143053,2473.50023727247,0.000244194478063462,-0.553928366992033
"25",1971,12,"Sun","7","NEW YORK LIBERTY","2019",5019.53109182636,-3048.53109182636,0.0207302490299968,2472.2656702669,0.0011733849006348,-1.24579956105956
"26",2195,11,"Sat","7","NEW YORK LIBERTY","2019",5262.32546956503,-3067.32546956503,0.0252585563467278,2472.23939454799,0.00146086061657345,-1.25638823109655
"27",1927,11,"Sun","8","NEW YORK LIBERTY","2019",4971.1530270955,-3044.1530270955,0.0202714048389087,2472.27080675276,0.00114304844612717,-1.243719097184
"28",7715,11,"Sun","8","NEW YORK LIBERTY","2019",4971.1530270955,2743.8469729045,0.0202714048389087,2472.55852609973,0.000928648689918292,1.12102606195455
"29",1570,11,"Tue","8","NEW YORK LIBERTY","2019",3884.88969192724,-2314.88969192724,0.0216558163031816,2472.91642107209,0.000708127114287435,-0.946440207137956
"30",1831,11,"Fri","8","NEW YORK LIBERTY","2019",4640.46601645296,-2809.46601645296,0.0215715396787417,2472.49647319027,0.00103879524900449,-1.14859774513965
"31",1693,11,"Tue","8","NEW YORK LIBERTY","2019",3884.88969192724,-2191.88969192724,0.0216558163031816,2473.00828939505,0.000634874684939116,-0.896151786966604
"32",1791,10,"Fri","8","NEW YORK LIBERTY","2019",4498.36136364003,-2707.36136364003,0.0221057362824368,2472.58917056898,0.000989630425924214,-1.1071564441513
"33",1558,9,"Tue","9","NEW YORK LIBERTY","2019",3775.8464344509,-2217.8464344509,0.0295934269151221,2472.9826522161,0.00090283864835891,-0.910465139216202
"34",2301,9,"Fri","9","NEW YORK LIBERTY","2019",4531.42275897662,-2230.42275897662,0.0291028739859973,2472.97372513948,0.00089706357271125,-0.915396599483551
"46",1139,7,"Fri","5","NEW YORK LIBERTY","2021",-744.138768192206,1883.13876819221,0.0272762826429062,2473.21339435504,0.000597076829707113,0.772140417903162
"47",815,7,"Tue","5","NEW YORK LIBERTY","2021",-1499.71509271792,2314.71509271792,0.027090593484685,2472.91159474377,0.000895629107198957,0.949008400630813
