"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2001,"May 28, 2001","Regular season","Houston Comets","Los Angeles Sparks","Compaq Center","Houston","TX",16285
2001,"May 30, 2001","Regular season","Phoenix Mercury","Utah Starzz","US Airways Center","Phoenix","AZ",9057
2001,"May 31, 2001","Regular season","Miami Sol","New York Liberty","AmericanAirlines Arena","Miami","FL",9234
2001,"May 31, 2001","Regular season","Cleveland Rockers","Washington Mystics","Quicken Loans Arena","Cleveland","OH",9307
2001,"May 31, 2001","Regular season","Indiana Fever","Houston Comets","Conseco Fieldhouse","Indianapolis","IN",10041
2001,"May 31, 2001","Regular season","Portland Fire","Minnesota Lynx","Moda Center","Portland","OR",10315
2001,"May 31, 2001","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",7567
2001,"June 1, 2001","Regular season","Orlando Miracle","Los Angeles Sparks","Amway Arena","Orlando","FL",10102
2001,"June 2, 2001","Regular season","New York Liberty","Indiana Fever","Madison Square Garden","New York","NY",16050
2001,"June 2, 2001","Regular season","Charlotte Sting","Los Angeles Sparks","Spectrum Center","Charlotte","NC",12843
2001,"June 2, 2001","Regular season","Detroit Shock","Houston Comets","Palace of Auburn Hills","Detroit","MI",9401
2001,"June 2, 2001","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",10040
2001,"June 2, 2001","Regular season","Utah Starzz","Portland Fire","EnergySolutions Arena","Salt Lake City","UT",6813
2001,"June 2, 2001","Regular season","Sacramento Monarchs","Cleveland Rockers","ARCO Arena","Sacramento","CA",12689
2001,"June 3, 2001","Regular season","Washington Mystics","Seattle Storm","Verizon Center","Washington","DC",17310
2001,"June 4, 2001","Regular season","New York Liberty","Sacramento Monarchs","Madison Square Garden","New York","NY",12262
2001,"June 4, 2001","Regular season","Indiana Fever","Seattle Storm","Conseco Fieldhouse","Indianapolis","IN",7021
2001,"June 4, 2001","Regular season","Portland Fire","Phoenix Mercury","Moda Center","Portland","OR",7041
2001,"June 5, 2001","Regular season","Washington Mystics","Sacramento Monarchs","Verizon Center","Washington","DC",11302
